building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
1319,0,2016-01-01 01:00:00,107.995,14,Entertainment/public assembly,287419,,,5.6,0.0,-0.6,0.0,1019.3,300.0,2.6
1319,1,2016-01-01 01:00:00,13.3742,14,Entertainment/public assembly,287419,,,5.6,0.0,-0.6,0.0,1019.3,300.0,2.6
1319,3,2016-01-01 01:00:00,394.899,14,Entertainment/public assembly,287419,,,5.6,0.0,-0.6,0.0,1019.3,300.0,2.6
1319,0,2016-01-01 02:00:00,83.9955,14,Entertainment/public assembly,287419,,,5.6,4.0,-0.6,0.0,1019.4,300.0,2.6
1319,1,2016-01-01 02:00:00,24.637,14,Entertainment/public assembly,287419,,,5.6,4.0,-0.6,0.0,1019.4,300.0,2.6
1319,3,2016-01-01 02:00:00,388.168,14,Entertainment/public assembly,287419,,,5.6,4.0,-0.6,0.0,1019.4,300.0,2.6
1319,0,2016-01-01 03:00:00,107.995,14,Entertainment/public assembly,287419,,,5.6,,-1.1,0.0,1019.4,,1.5
1319,1,2016-01-01 03:00:00,24.0786,14,Entertainment/public assembly,287419,,,5.6,,-1.1,0.0,1019.4,,1.5
1319,3,2016-01-01 03:00:00,400.28,14,Entertainment/public assembly,287419,,,5.6,,-1.1,0.0,1019.4,,1.5
1319,0,2016-01-01 04:00:00,95.9952,14,Entertainment/public assembly,287419,,,5.0,,-2.2,0.0,1019.2,290.0,3.1
1319,1,2016-01-01 04:00:00,34.0725,14,Entertainment/public assembly,287419,,,5.0,,-2.2,0.0,1019.2,290.0,3.1
1319,3,2016-01-01 04:00:00,384.21,14,Entertainment/public assembly,287419,,,5.0,,-2.2,0.0,1019.2,290.0,3.1
1319,0,2016-01-01 05:00:00,95.9951,14,Entertainment/public assembly,287419,,,4.4,,-2.2,0.0,1018.9,300.0,4.1
1319,1,2016-01-01 05:00:00,19.4678,14,Entertainment/public assembly,287419,,,4.4,,-2.2,0.0,1018.9,300.0,4.1
1319,3,2016-01-01 05:00:00,413.449,14,Entertainment/public assembly,287419,,,4.4,,-2.2,0.0,1018.9,300.0,4.1
1319,0,2016-01-01 06:00:00,95.9949,14,Entertainment/public assembly,287419,,,4.4,,-2.8,0.0,1018.4,300.0,2.6
1319,1,2016-01-01 06:00:00,22.5402,14,Entertainment/public assembly,287419,,,4.4,,-2.8,0.0,1018.4,300.0,2.6
1319,3,2016-01-01 06:00:00,415.98,14,Entertainment/public assembly,287419,,,4.4,,-2.8,0.0,1018.4,300.0,2.6
1319,0,2016-01-01 07:00:00,107.994,14,Entertainment/public assembly,287419,,,3.9,,-2.8,0.0,1018.2,300.0,3.6
1319,1,2016-01-01 07:00:00,20.3288,14,Entertainment/public assembly,287419,,,3.9,,-2.8,0.0,1018.2,300.0,3.6
1319,3,2016-01-01 07:00:00,547.184,14,Entertainment/public assembly,287419,,,3.9,,-2.8,0.0,1018.2,300.0,3.6
1319,0,2016-01-01 08:00:00,95.9974,14,Entertainment/public assembly,287419,,,3.9,0.0,-3.3,0.0,1018.3,300.0,4.1
1319,1,2016-01-01 08:00:00,13.1048,14,Entertainment/public assembly,287419,,,3.9,0.0,-3.3,0.0,1018.3,300.0,4.1
1319,3,2016-01-01 08:00:00,401.646,14,Entertainment/public assembly,287419,,,3.9,0.0,-3.3,0.0,1018.3,300.0,4.1
1319,0,2016-01-01 09:00:00,107.994,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1018.2,280.0,3.1
1319,1,2016-01-01 09:00:00,11.7693,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1018.2,280.0,3.1
1319,3,2016-01-01 09:00:00,589.307,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1018.2,280.0,3.1
1319,0,2016-01-01 10:00:00,107.994,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
1319,1,2016-01-01 10:00:00,13.1048,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
1319,3,2016-01-01 10:00:00,518.33,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
1319,0,2016-01-01 11:00:00,95.9974,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1017.9,280.0,2.6
1319,1,2016-01-01 11:00:00,9.7339,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1017.9,280.0,2.6
1319,3,2016-01-01 11:00:00,497.554,14,Entertainment/public assembly,287419,,,3.3,0.0,-3.3,0.0,1017.9,280.0,2.6
1319,0,2016-01-01 12:00:00,119.994,14,Entertainment/public assembly,287419,,,2.8,2.0,-3.3,0.0,1017.8,300.0,2.6
1319,1,2016-01-01 12:00:00,9.7339,14,Entertainment/public assembly,287419,,,2.8,2.0,-3.3,0.0,1017.8,300.0,2.6
1319,3,2016-01-01 12:00:00,415.329,14,Entertainment/public assembly,287419,,,2.8,2.0,-3.3,0.0,1017.8,300.0,2.6
1319,0,2016-01-01 13:00:00,107.995,14,Entertainment/public assembly,287419,,,2.8,,-2.8,0.0,1018.3,270.0,1.5
1319,1,2016-01-01 13:00:00,5.6354,14,Entertainment/public assembly,287419,,,2.8,,-2.8,0.0,1018.3,270.0,1.5
1319,3,2016-01-01 13:00:00,499.642,14,Entertainment/public assembly,287419,,,2.8,,-2.8,0.0,1018.3,270.0,1.5
1319,0,2016-01-01 14:00:00,83.9958,14,Entertainment/public assembly,287419,,,3.3,,-2.8,0.0,1018.1,290.0,2.6
